"pair_no","sp1","sp2","age","patry","ed","lat"
217,"Mionectes_oleagineus","Mionectes_macconnelli_EAST",2.0249,1,0.11354,0.84694
136,"Myrmotherula_pacifica","Myrmotherula_surinamensis",0.6307,0,0.06906,3.2456
46,"Automolus_rubiginosus_CIS","Automolus_rubiginosus_TRANS",2.6509,0,0.06843,3.32154
131,"Gymnopithys_rufigula","Gymnopithys_leucaspis",0.4722,0,0.04615,3.35584
218,"Mionectes_striaticollis","Mionectes_olivaceus",3.9344,1,0.13613,3.3874
17,"Rupicola_rupicola","Rupicola_peruvianus",4.5723,0,0.14969,3.59288
53,"Dendrocincla_tyrannina","Dendrocincla_merula",6.6632,0,0.01677,3.6265
142,"Thamnophilus_cryptoleucus","Thamnophilus_nigrocinereus",0.7243,0,0.07519,3.72029
52,"Dendrexetastes_rufigula","Nasica_longirostris",6.7721,1,1.77399,4.31782
21,"Dendroplex_kienerii","Dendroplex_picus",5.8889,1,0.01211,4.41048
138,"Sakesphorus_canadensis","Sakesphorus_luctuosus",4.527,0,0.0461,4.46212
135,"Myrmeciza_fortis","Myrmeciza_immaculata",2.5699,0,0.08746,4.61633
188,"Tityra_cayana","Tityra_semifasciata",4.7655,1,0.00567,4.77229
143,"Thamnophilus_murinus","Thamnophilus_schistaceus",4.8535,1,0.11171,4.87564
121,"Lepidothrix_coronata_TRANSANDEAN","Lepidothrix_coronata_CISANDEAN",2.2735,0,0.08807,4.8905
48,"Campylorhamphus_procurvoides","Campylorhamphus_trochilirostris",2.699,1,0.39087,4.91498
67,"Sclerurus_mexicanus_obscurus","Sclerurus_mexicanus_peruvianus",5.5159,0,0.15704,5.2775
61,"Glyphorynchus_spirurus_CA","Glyphorynchus_spirurus_Rondonia",5.0283,0,0.05756,5.44375
22,"Xiphorhynchus_ocellatus","Xiphorhynchus_pardalotus",2.773,1,0.10055,5.58897
129,"Cercomacra_laeta","Cercomacra_tyrannina",4.0024,1,0.21268,5.59867
133,"Hylophylax_naevius","Hylophylax_naevioides",4.1103,0,0.12579,5.82898
140,"Thamnistes_anabatinus_CISANDEAN","Thamnistes_anabatinus_TRANSANDEAN",2.7292,0,0.02304,5.8875
23,"Xiphorhynchus_triangularis","Xiphorhynchus_erythropygius",3.3994,0,0.05345,6.09836
19,"Xiphorhynchus_elegans","Xiphorhynchus_spixii",3.1142,0,0.08656,6.19735
55,"Dendrocolaptes_sanctithomae","Dendrocolaptes_certhia",4.1348,0,0.03757,6.87311
124,"Pipra_erythrocephala","Pipra_rubrocapilla",2.958,0,0.13526,7.03467
70,"Xiphorhynchus_guttatus_dorbigyanus","Xiphorhynchus_guttatus_eytoni",1.5013,0,0.02776,7.125
64,"Lepidocolaptes_souleyetii_insignis","Lepidocolaptes_souleyetii_souleyetii",1.7214,0,0.39835,7.3235
122,"Lepidothrix_iris","Lepidothrix_nattereri",0.7608,0,0.0443,7.55821
141,"Thamnophilus_atrinucha","Thamnophilus_bridgesi",3.6578,0,0.28701,7.60093
